id,sex,cheli.length,pro.width
M_122,M,4.88,2.39
M_123,M,9.69,3.216666667
M_124,M,11.87333333,3.706666667
M_125,M,12.46666667,3.876666667
M_126,M,5.646666667,2.533333333
M_127,M,8.996666667,3.516666667
M_128,M,7.606666667,3.816666667
M_129,M,3.546666667,2.416666667
M_130,M,10.42333333,3.726666667
M_131,M,9.803333333,3.373333333
M_132,M,5.196666667,2.636666667
M_133,M,4.306666667,2.386666667
M_134,M,7.623333333,2.993333333
M_135,M,11.71666667,4.053333333
M_136,M,13.60666667,4.253333333
M_137,M,4.023333333,2.766666667
M_138,M,3.263333333,2.586666667
M_139,M,8.94,3.56
M_140,M,11.28333333,4.31
M_141,M,11.74666667,3.703333333
M_142,M,14.47666667,4.743333333
M_143,M,4.533333333,2.605
M_144,M,14.20333333,3.636666667
M_145,M,10.59333333,3.54
M_146,M,10.47666667,3.506666667
M_147,M,8.133333333,2.83
M_148,M,5.12,3.1
M_149,M,11.09333333,3.34
M_150,M,13.58,3.42
M_151,M,14.00333333,4.25
M_152,M,5.07,2.41
M_153,M,10.65,2.72
M_154,M,11.58666667,3.94
M_155,M,7.713333333,2.89
M_156,M,6.066666667,2.87
M_157,M,5.966666667,2.593333333
M_158,M,12.79666667,3.893333333
M_159,M,11.11,3.39
M_160,M,11.55666667,3.676666667
M_161,M,9.62,2.876666667
M_162,M,9.54,3.996666667
M_163,M,12.51666667,3.753333333
M_164,M,11.28333333,3.773333333
M_165,M,13.41666667,3.563333333
M_166,M,11.67,4.073333333
M_167,M,12.43666667,4.093333333
M_168,M,12.49666667,3.716666667
M_169,M,10.52666667,3.49
M_170,M,14.89,4.156666667
M_171,M,12.28,4.09
M_172,M,10.31,3.626666667
M_173,M,13.16333333,3.79
M_174,M,11.59666667,3.693333333
M_175,M,12.63333333,4.033333333
M_176,M,11.48,3.596666667
M_177,M,12.77,3.893333333
M_178,M,6.873333333,3.28
M_179,M,12.79666667,4.003333333
M_180,M,12.1,3.916666667
M_181,M,11.82666667,3.886666667
M_182,M,13.23666667,3.89
M_183,M,4.06,2.523333333
M_184,M,11.05666667,3.413333333
M_185,M,10.88666667,3.58
M_186,M,3.476666667,2.986666667
M_187,M,5.796666667,3.013333333
M_188,M,12.62666667,3.913333333
M_189,M,3.796666667,2.593333333
